Rolling Stone Magazine Rank,Artist,Racial/Ethnic group,Main Grammy awards,Main Grammy Nominations,Total Awards,Total Nominations,UK number 1's
1,The Beatles,White/European,2,10,14,29,17
2,Bob Dylan,White/European,1,4,10,38,1
3,Elvis Presley,White/European,0,2,2,4,21
4,The Rolling Stones,White/European,0,1,4,14,8
5,Chuck Berry,Black/African,0,0,0,0,1
6,Jimi Hendrix,Black/African,0,0,0,1,0
7,James Brown,Black/African,0,0,3,8,0
8,Little Richard,Black/African,0,0,0,0,0
9,Aretha Franklin,Black/African,0,0,18,44,1
10,Ray Charles,Black/African,2,6,17,37,1
11,Bob Marley,Black/African,0,0,0,0,0
12,Beach Boys,White/European,0,0,0,4,2
13,Buddy Holly,White/European,0,0,0,0,2
14,Led Zeppelin,White/European,0,0,1,3,0
15,Stevie Wonder,Black/African,3,8,25,74,2
16,Sam Cooke,Black/African,0,0,0,6,0
17,Muddy Waters,Black/African,0,0,6,11,0
18,Marvin Gaye,Black/African,0,0,2,12,1
19,Velvet Underground,White/European,0,0,0,0,0
20,Bo Diddley,Black/African,0,0,0,2,0
21,Otis Redding,Black/African,0,0,2,5,0
22,U2,White/European,6,11,22,46,7
23,Bruce Springsteen,White/European,1,8,20,50,0
24,Jerry Lee Lewis,White/European,0,0,1,3,0
25,Fats Domino,Black/African,0,0,0,0,0
26,The Ramones,White/European,0,0,0,0,0
27,Prince,Black/African,0,3,7,38,0
28,The Clash,White/European,0,0,1,1,1
29,The Who,White/European,0,0,0,2,0
30,Nirvana,White/European,0,0,1,6,0
31,Johnny Cash,White/European,0,2,13,35,0
32,Smokey Robinson & The Miracles,Black/African,0,0,0,1,0
33,Everly Brothers,White/European,0,0,0,4,4
34,Neil Young,White/European,0,3,2,27,0
35,Michael Jackson,Black/African,3,8,13,38,7
36,Madonna,White/European,0,3,7,28,13
37,Roy Orbison,White/European,0,1,5,9,3
38,John Lennon,White/European,1,2,1,4,3
39,David Bowie,White/European,0,1,5,19,5
40,Simon & Garfunkel,White/European,3,4,7,11,1
41,The Doors,White/European,0,0,0,0,0
42,Van Morrison,White/European,0,0,2,7,0
43,Sly & The Family Stone,Black/African,0,0,0,0,0
44,Public Enemy,Black/African,0,0,0,6,0
45,The Byrds,White/European,0,0,0,0,1
46,Janis Joplin,White/European,0,0,0,2,0
47,Patti Smith,White/European,0,0,0,4,0
48,Run,Black/African,0,0,0,1,1
49,Elton John,White/European,0,7,5,34,7
50,The Band,White/European,0,0,0,0,0
51,Pink Floyd,White/European,0,1,1,4,1
52,Queen,East Indian and White/European,0,0,0,4,6
53,The Allman Brothers Band,White/European,0,0,1,8,0
54,Howlin' Wolf,Black/African,0,0,0,3,0
55,Eric Clapton,White/European,5,6,17,37,0
56,Dr. Dre,Black/African,0,4,6,26,0
57,Grateful Dead,White/European,0,0,0,0,0
58,Parliament / Funkadelic,Black/African,0,0,0,0,0
59,Aerosmith,White/European,0,0,4,14,0
60,Sex Pistols,White/European,0,0,0,0,0
61,Metallica,White/European,0,0,8,18,0
62,Joni Mitchell,White/European,1,3,8,16,0
63,Tina Turner,Black/African,2,3,8,25,0
64,Phil Spector,White/European,1,3,1,3,0
65,The Kinks,White/European,0,0,0,0,0
66,Al Green,Black/African,0,0,11,21,0
67,Cream,White/European,0,0,0,1,0
68,The Temptations,Black/African,0,0,4,9,0
69,Jackie Wilson,Black/African,0,0,0,2,0
70,The Police,White/European,0,2,5,8,5
71,Frank Zappa,White/European,0,0,2,9,0
72,AC/DC,White/European,0,0,1,7,0
73,Radiohead,White/European,0,3,3,18,0
74,Hank Williams,White/European,0,0,0,0,0
75,The Eagles,White/European,1,4,6,18,0
76,The Shirelles,Black/African,0,0,0,0,0
77,Beastie Boys,White/European,0,0,3,10,0
78,The Stooges,White/European,0,0,0,0,0
79,The Four Tops,Black/African,0,0,0,1,1
80,Elvis Costello,White/European,0,0,1,14,0
81,The Drifters,Black/African,0,0,0,1,0
82,Creedence Clearwater Revival,White/European,0,0,0,0,1
83,Eminem,White/European,0,9,15,44,9
84,James Taylor,White/European,0,5,5,18,0
85,Black Sabbath,White/European,0,0,2,4,0
86,2Pac,Black/African,0,0,0,6,1
87,Gram Parsons,White/European,0,0,0,1,0
88,Jay-Z,Black/African,0,10,22,77,4
89,The Yardbirds,White/European,0,0,0,0,0
90,Carlos Santana,Mestizo,2,2,10,14,0
91,Tom Petty,White/European,0,2,3,18,0
92,Guns N' Roses,White/European and Mixed,0,0,0,3,0
93,Booker T & The MG's,White/European and Black/African,0,0,1,4,0
94,Nine Inch Nails,White/European,0,0,2,10,0
95,Lynyrd Skynrd,White/European,0,0,0,0,0
96,Diana Ross and the Supremes,Black/African,0,0,0,2,1
97,R.E.M.,White/European,0,3,3,13,0
98,Curtis Mayfield,Black/African,0,0,0,8,0
99,Carl Perkins,White/European,0,0,1,2,0
100,Talking Heads,White/European,0,0,0,2,0