Year,Musician,Nationality,Earnings (Millions),"Adjusted earnings
(in 2023 dollar)"
1987,Bruce Springsteen,United States,$56,134
1988,Michael Jackson *,United States,$97,222
1989,Michael Jackson *,United States,$125,273
1990,Michael Jackson,United States,$100,207
1991,New Kids on the Block *,United States,$115,229
1992,New Kids on the Block,United States,$62,120
1993,Guns N' Roses,United States,$53,99
1994,Pink Floyd,United Kingdom,$62,113
1995,The Beatles,United Kingdom,$130,231
1996,The Beatles,United Kingdom,$130,225
1997,The Beatles,United Kingdom,$98,165
1998,The Rolling Stones,United Kingdom,$57,95
1999,Backstreet Boys,United States,$60,98
2001,The Beatles,United Kingdom,$70,107
2002,U2,Ireland,$69,104
2003,The Rolling Stones,United Kingdom,$66.50,98
2004,Bruce Springsteen,United States,$64,92
2005,Madonna,United States,$50,69
2006,U2,Ireland,$110,148
2007,The Rolling Stones,United Kingdom,$110,144
2008,The Police,United Kingdom,$115,145
2009,Madonna,United States,$110,139
2010,U2,Ireland,$130,162
2011,U2,Ireland,$195,235
2012,Dr. Dre,United States,$110,130
2013,Madonna,United States,$125,145
2014,Dr. Dre,United States,$620,710
2015,Katy Perry,United States,$135,154
2016,Taylor Swift,United States,$170,192
2017,Diddy,United States,$130,144
2018,U2,Ireland,$118,127
2019,Taylor Swift,United States,$185,196
2020,Kanye West,United States,$170,178
2021,Bruce Springsteen,United States,$435,435